host datastore workers random read size oio latency workload
win1 netapp-7disk-sp 3 75 95 4096 1 8.963113 web_file_server1
win1 netapp-7disk-sp 3 75 95 4096 1 8.909300 web_file_server1
win1 netapp-7disk-sp 3 75 95 8192 1 9.309980 web_file_server2
win2 emc-5disk-sp 4 100 70 8192 1 6.382708 oltp_db
win2 emc-5disk-sp 4 75 95 8192 1 7.381214 web_file_server2
win2 emc-5disk-sp 4 75 95 4096 1 7.089243 web_file_server1
win2 emc-5disk-sp 4 100 67 4096 1 6.731421 exchange_server
win1 netapp-7disk-sp 4 0 90 65536 1 1.936953 os_paging
win1 netapp-7disk-sp 4 80 80 8192 1 11.794753 workstations
win1 netapp-7disk-sp 4 80 80 8192 1 11.682017 workstations
win1 netapp-7disk-sp 4 100 67 4096 1 11.198489 exchange_server
win2 emc-5disk-sp 4 75 95 65536 1 19.218914 web_file_server3
win2 emc-5disk-sp 4 100 100 1048576 1 44.697838 decision_support_db
win2 emc-5disk-sp 4 75 95 4096 1 13.566093 web_file_server1
win2 emc-5disk-sp 4 80 80 8192 1 13.746617 workstations
win1 netapp-7disk-sp 3 75 95 65536 1 14.316194 web_file_server3
win1 netapp-7disk-sp 3 0 98 65536 1 1.553170 media_streaming
win1 netapp-7disk-sp 3 75 95 4096 1 10.009521 web_file_server1
win2 emc-5disk-sp 3 80 80 8192 1 5.200461 workstations
win2 emc-5disk-sp 3 75 95 4096 1 5.544500 web_file_server1
win2 emc-5disk-sp 3 100 70 8192 1 5.072061 oltp_db
win1 netapp-7disk-sp 4 0 98 65536 1 1.840161 media_streaming
win1 netapp-7disk-sp 4 75 95 4096 1 11.429759 web_file_server1
win1 netapp-7disk-sp 4 100 70 8192 1 10.453179 oltp_db
win1 netapp-7disk-sp 4 100 67 4096 1 9.910654 exchange_server
win2 emc-5disk-sp 4 0 98 65536 1 1.696398 media_streaming
win2 emc-5disk-sp 4 100 67 4096 1 11.538964 exchange_server
win2 emc-5disk-sp 4 80 80 8192 1 12.307820 workstations
win2 emc-5disk-sp 4 0 98 65536 1 1.695857 media_streaming
win1 netapp-7disk-sp 3 75 95 8192 1 10.453693 web_file_server2
win1 netapp-7disk-sp 3 0 98 65536 1 1.742342 media_streaming
win1 netapp-7disk-sp 3 100 67 4096 1 8.383051 exchange_server
win2 emc-5disk-sp 3 0 98 65536 1 1.740005 media_streaming
win2 emc-5disk-sp 3 0 0 65536 1 1.878889 sql_server_log
win2 emc-5disk-sp 3 0 0 8192 1 1.342508 web_serber_log
win1 netapp-7disk-sp 3 0 0 65536 1 1.507022 sql_server_log
win1 netapp-7disk-sp 3 80 80 8192 1 20.684772 workstations
win1 netapp-7disk-sp 3 100 100 1048576 1 181.983497 decision_support_db
win2 emc-5disk-sp 3 100 67 4096 1 9.595803 exchange_server
win2 emc-5disk-sp 3 0 90 65536 1 1.702533 os_paging
win2 emc-5disk-sp 3 75 95 65536 1 16.356737 web_file_server3
win1 netapp-7disk-sp 4 75 95 8192 1 9.889230 web_file_server2
win1 netapp-7disk-sp 4 100 67 4096 1 11.755139 exchange_server
win1 netapp-7disk-sp 4 100 70 8192 1 11.994378 oltp_db
win1 netapp-7disk-sp 4 0 0 8192 1 1.244943 web_serber_log
win2 emc-5disk-sp 4 100 67 4096 1 10.466730 exchange_server
win2 emc-5disk-sp 4 0 90 65536 1 1.662158 os_paging
win2 emc-5disk-sp 4 80 80 8192 1 13.484046 workstations
win2 emc-5disk-sp 4 0 90 65536 1 1.662195 os_paging
win1 netapp-7disk-sp 4 0 0 8192 1 0.874876 web_serber_log
win1 netapp-7disk-sp 4 80 80 8192 1 8.637280 workstations
win1 netapp-7disk-sp 4 75 95 65536 1 12.898902 web_file_server3
win1 netapp-7disk-sp 4 0 0 8192 1 0.874055 web_serber_log
win2 emc-5disk-sp 4 80 80 8192 1 6.120727 workstations
win2 emc-5disk-sp 4 0 0 8192 1 0.791952 web_serber_log
win2 emc-5disk-sp 4 75 95 4096 1 6.742198 web_file_server1
win2 emc-5disk-sp 4 0 0 8192 1 0.772751 web_serber_log
win1 netapp-7disk-sp 4 0 0 65536 1 1.283894 sql_server_log
win1 netapp-7disk-sp 4 0 0 65536 1 1.283382 sql_server_log
win1 netapp-7disk-sp 4 75 95 8192 1 18.894622 web_file_server2
win1 netapp-7disk-sp 4 75 95 4096 1 17.990403 web_file_server1
win2 emc-5disk-sp 4 75 95 8192 1 7.423222 web_file_server2
win2 emc-5disk-sp 4 100 67 4096 1 6.200305 exchange_server
win2 emc-5disk-sp 4 0 0 8192 1 0.809655 web_serber_log
win2 emc-5disk-sp 4 75 95 8192 1 7.434154 web_file_server2
win1 netapp-7disk-sp 2 75 95 65536 1 10.289465 web_file_server3
win1 netapp-7disk-sp 2 75 95 4096 1 7.344943 web_file_server1
win2 emc-5disk-sp 4 75 95 8192 1 16.653793 web_file_server2
win2 emc-5disk-sp 4 100 100 1048576 1 50.768037 decision_support_db
win2 emc-5disk-sp 4 0 0 8192 1 1.000637 web_serber_log
win2 emc-5disk-sp 4 100 100 1048576 1 51.951779 decision_support_db
win1 netapp-7disk-sp 4 100 67 4096 1 13.720322 exchange_server
win1 netapp-7disk-sp 4 100 67 4096 1 13.796582 exchange_server
win1 netapp-7disk-sp 4 0 0 8192 1 1.554489 web_serber_log
win1 netapp-7disk-sp 4 100 100 1048576 1 95.899200 decision_support_db
win2 emc-5disk-sp 4 0 98 65536 1 1.805915 media_streaming
win2 emc-5disk-sp 4 100 67 4096 1 10.838822 exchange_server
win2 emc-5disk-sp 4 0 90 65536 1 1.795678 os_paging
win2 emc-5disk-sp 4 0 0 65536 1 2.494619 sql_server_log
win1 netapp-7disk-sp 4 75 95 8192 1 11.135206 web_file_server2
win1 netapp-7disk-sp 4 100 67 4096 1 9.253450 exchange_server
win1 netapp-7disk-sp 4 75 95 4096 1 10.667066 web_file_server1
win1 netapp-7disk-sp 4 0 98 65536 1 1.654501 media_streaming
win2 emc-5disk-sp 3 0 0 65536 1 1.301307 sql_server_log
win2 emc-5disk-sp 3 0 0 65536 1 1.300792 sql_server_log
win2 emc-5disk-sp 3 0 0 8192 1 1.037939 web_serber_log
win1 netapp-7disk-sp 3 0 0 8192 1 0.975004 web_serber_log
win1 netapp-7disk-sp 3 75 95 8192 1 8.912186 web_file_server2
win1 netapp-7disk-sp 3 100 70 8192 1 8.592089 oltp_db
win1 netapp-7disk-sp 2 100 100 1048576 1 75.051204 decision_support_db
win1 netapp-7disk-sp 2 0 0 8192 1 0.744549 web_serber_log
win2 emc-5disk-sp 4 75 95 8192 1 7.417999 web_file_server2
win2 emc-5disk-sp 4 80 80 8192 1 6.863868 workstations
win2 emc-5disk-sp 4 100 67 4096 1 6.166719 exchange_server
win2 emc-5disk-sp 4 75 95 4096 1 8.109487 web_file_server1
win1 netapp-7disk-sp 2 100 100 1048576 1 77.923270 decision_support_db
win1 netapp-7disk-sp 2 75 95 65536 1 13.312132 web_file_server3
win2 emc-5disk-sp 3 80 80 8192 1 5.236025 workstations
win2 emc-5disk-sp 3 75 95 4096 1 5.648036 web_file_server1
win2 emc-5disk-sp 3 100 70 8192 1 5.196723 oltp_db
win1 netapp-7disk-sp 2 75 95 8192 1 19.165076 web_file_server2
win1 netapp-7disk-sp 2 0 0 65536 1 1.293716 sql_server_log
win2 emc-5disk-sp 3 100 67 4096 1 5.947141 exchange_server
win2 emc-5disk-sp 3 75 95 8192 1 6.613188 web_file_server2
win2 emc-5disk-sp 3 80 80 8192 1 6.027427 workstations
win1 netapp-7disk-sp 2 0 98 65536 1 1.174926 media_streaming
win1 netapp-7disk-sp 2 0 98 65536 1 1.174969 media_streaming
win2 emc-5disk-sp 3 0 0 65536 1 1.159800 sql_server_log
win2 emc-5disk-sp 3 80 80 8192 1 9.720790 workstations
win2 emc-5disk-sp 3 75 95 65536 1 13.811703 web_file_server3
win1 netapp-7disk-sp 4 75 95 4096 1 14.008429 web_file_server1
win1 netapp-7disk-sp 4 75 95 4096 1 13.975688 web_file_server1
win1 netapp-7disk-sp 4 75 95 65536 1 18.959398 web_file_server3
win1 netapp-7disk-sp 4 0 98 65536 1 1.597933 media_streaming
win2 emc-5disk-sp 3 0 0 8192 1 0.620269 web_serber_log
win2 emc-5disk-sp 3 75 95 65536 1 16.839094 web_file_server3
win2 emc-5disk-sp 3 0 98 65536 1 1.409156 media_streaming
win1 netapp-7disk-sp 3 75 95 8192 1 9.225754 web_file_server2
win1 netapp-7disk-sp 3 100 67 4096 1 8.112311 exchange_server
win1 netapp-7disk-sp 3 80 80 8192 1 8.765459 workstations
win2 emc-5disk-sp 4 75 95 65536 1 8.747780 web_file_server3
win2 emc-5disk-sp 4 100 70 8192 1 5.807420 oltp_db
win2 emc-5disk-sp 4 0 0 8192 1 0.584141 web_serber_log
win2 emc-5disk-sp 4 75 95 8192 1 6.868625 web_file_server2
win1 netapp-7disk-sp 4 75 95 65536 1 15.200647 web_file_server3
win1 netapp-7disk-sp 4 75 95 8192 1 11.103170 web_file_server2
win1 netapp-7disk-sp 4 75 95 8192 1 11.131608 web_file_server2
win1 netapp-7disk-sp 4 100 100 1048576 1 105.828621 decision_support_db
win2 emc-5disk-sp 3 0 98 65536 1 1.211053 media_streaming
win2 emc-5disk-sp 3 80 80 8192 1 8.140088 workstations
win2 emc-5disk-sp 3 75 95 4096 1 8.541773 web_file_server1
win1 netapp-7disk-sp 4 0 0 8192 1 1.043598 web_serber_log
win1 netapp-7disk-sp 4 0 0 65536 1 1.233255 sql_server_log
win1 netapp-7disk-sp 4 75 95 8192 1 34.560196 web_file_server2
win1 netapp-7disk-sp 4 75 95 8192 1 35.635627 web_file_server2
win1 netapp-7disk-sp 3 0 90 65536 1 1.631245 os_paging
win1 netapp-7disk-sp 3 100 67 4096 1 10.403167 exchange_server
win1 netapp-7disk-sp 3 0 90 65536 1 1.630915 os_paging
win2 emc-5disk-sp 3 0 0 8192 1 0.628006 web_serber_log
win2 emc-5disk-sp 3 75 95 4096 1 8.943693 web_file_server1
win2 emc-5disk-sp 3 0 98 65536 1 1.236036 media_streaming
win1 netapp-7disk-sp 4 0 0 65536 1 2.624829 sql_server_log
win1 netapp-7disk-sp 4 75 95 8192 1 18.573188 web_file_server2
win1 netapp-7disk-sp 4 75 95 8192 1 18.324427 web_file_server2
win1 netapp-7disk-sp 4 0 98 65536 1 2.624162 media_streaming
win2 emc-5disk-sp 4 75 95 4096 1 9.694529 web_file_server1
win2 emc-5disk-sp 4 0 98 65536 1 1.334903 media_streaming
win2 emc-5disk-sp 4 0 0 8192 1 0.639562 web_serber_log
win2 emc-5disk-sp 4 75 95 65536 1 15.236605 web_file_server3
win1 netapp-7disk-sp 2 75 95 65536 1 11.142838 web_file_server3
win1 netapp-7disk-sp 2 75 95 4096 1 8.021667 web_file_server1
win2 emc-5disk-sp 4 80 80 8192 1 9.884357 workstations
win2 emc-5disk-sp 4 0 98 65536 1 1.218660 media_streaming
win2 emc-5disk-sp 4 100 67 4096 1 9.160623 exchange_server
win2 emc-5disk-sp 4 0 98 65536 1 1.219056 media_streaming
win1 netapp-7disk-sp 2 75 95 8192 1 9.358957 web_file_server2
win1 netapp-7disk-sp 2 100 100 1048576 1 74.446581 decision_support_db
win2 emc-5disk-sp 3 100 100 1048576 1 41.954453 decision_support_db
win2 emc-5disk-sp 3 0 98 65536 1 1.475078 media_streaming
win2 emc-5disk-sp 3 75 95 8192 1 13.283192 web_file_server2
win1 netapp-7disk-sp 4 75 95 8192 1 14.800026 web_file_server2
win1 netapp-7disk-sp 4 75 95 65536 1 19.711775 web_file_server3
win1 netapp-7disk-sp 4 0 98 65536 1 2.002090 media_streaming
win1 netapp-7disk-sp 4 100 100 1048576 1 117.235297 decision_support_db
win2 emc-5disk-sp 3 75 95 4096 1 9.645091 web_file_server1
win2 emc-5disk-sp 3 100 67 4096 1 8.382682 exchange_server
win2 emc-5disk-sp 3 0 90 65536 1 1.361936 os_paging
win1 netapp-7disk-sp 4 100 70 8192 1 12.765786 oltp_db
win1 netapp-7disk-sp 4 0 0 8192 1 1.487345 web_serber_log
win1 netapp-7disk-sp 4 75 95 65536 1 15.050726 web_file_server3
win1 netapp-7disk-sp 4 80 80 8192 1 11.429081 workstations
win2 emc-5disk-sp 4 0 90 65536 1 1.906965 os_paging
win2 emc-5disk-sp 4 0 0 65536 1 2.655655 sql_server_log
win2 emc-5disk-sp 4 0 98 65536 1 1.907348 media_streaming
win2 emc-5disk-sp 4 100 100 1048576 1 60.108584 decision_support_db
win1 netapp-7disk-sp 3 0 90 65536 1 1.809612 os_paging
win1 netapp-7disk-sp 3 100 70 8192 1 10.378019 oltp_db
win1 netapp-7disk-sp 3 80 80 8192 1 10.720095 workstations
win2 emc-5disk-sp 4 100 100 1048576 1 50.532825 decision_support_db
win2 emc-5disk-sp 4 0 98 65536 1 1.706036 media_streaming
win2 emc-5disk-sp 4 0 0 8192 1 0.682607 web_serber_log
win2 emc-5disk-sp 4 100 67 4096 1 12.901869 exchange_server
win1 netapp-7disk-sp 4 100 100 1048576 1 113.706597 decision_support_db
win1 netapp-7disk-sp 4 75 95 4096 1 13.249647 web_file_server1
win1 netapp-7disk-sp 4 0 90 65536 1 2.239880 os_paging
win1 netapp-7disk-sp 4 75 95 8192 1 13.828307 web_file_server2
win2 emc-5disk-sp 3 0 0 8192 1 0.688168 web_serber_log
win2 emc-5disk-sp 3 0 0 65536 1 0.950921 sql_server_log
win2 emc-5disk-sp 3 75 95 4096 1 6.835058 web_file_server1
win1 netapp-7disk-sp 2 0 98 65536 1 1.481196 media_streaming
win1 netapp-7disk-sp 2 75 95 4096 1 8.661180 web_file_server1
win2 emc-5disk-sp 3 100 70 8192 1 9.235561 oltp_db
win2 emc-5disk-sp 3 0 90 65536 1 1.326678 os_paging
win2 emc-5disk-sp 3 0 0 8192 1 0.614077 web_serber_log
win1 netapp-7disk-sp 2 0 0 65536 1 1.226573 sql_server_log
win1 netapp-7disk-sp 2 75 95 8192 1 23.270367 web_file_server2
win2 emc-5disk-sp 1 0 90 65536 1 0.740405 os_paging
win1 netapp-7disk-sp 3 100 100 1048576 1 94.138964 decision_support_db
win1 netapp-7disk-sp 3 100 67 4096 1 9.220433 exchange_server
win1 netapp-7disk-sp 3 75 95 4096 1 10.411856 web_file_server1
win2 emc-5disk-sp 4 80 80 8192 1 10.924689 workstations
win2 emc-5disk-sp 4 100 100 1048576 1 39.704407 decision_support_db
win2 emc-5disk-sp 4 75 95 65536 1 17.072325 web_file_server3
win2 emc-5disk-sp 4 75 95 4096 1 11.430007 web_file_server1
win1 netapp-7disk-sp 2 100 70 8192 1 7.059035 oltp_db
win1 netapp-7disk-sp 2 75 95 65536 1 10.971540 web_file_server3
win2 emc-5disk-sp 3 100 100 1048576 1 53.826541 decision_support_db
win2 emc-5disk-sp 3 0 0 65536 1 1.045483 sql_server_log
win2 emc-5disk-sp 3 0 0 8192 1 0.734386 web_serber_log
win1 netapp-7disk-sp 4 0 98 65536 1 1.501480 media_streaming
win1 netapp-7disk-sp 4 0 98 65536 1 1.501298 media_streaming
win1 netapp-7disk-sp 4 0 90 65536 1 1.501432 os_paging
win1 netapp-7disk-sp 4 75 95 4096 1 9.094947 web_file_server1
win2 emc-5disk-sp 3 80 80 8192 1 15.053127 workstations
win2 emc-5disk-sp 3 0 0 65536 1 1.627757 sql_server_log
win2 emc-5disk-sp 3 0 90 65536 1 1.627448 os_paging
win1 netapp-7disk-sp 4 100 70 8192 1 14.045202 oltp_db
win1 netapp-7disk-sp 4 100 100 1048576 1 115.438470 decision_support_db
win1 netapp-7disk-sp 4 0 90 65536 1 2.152968 os_paging
win1 netapp-7disk-sp 4 0 90 65536 1 2.152693 os_paging
win2 emc-5disk-sp 4 100 67 4096 1 12.667140 exchange_server
win2 emc-5disk-sp 4 0 98 65536 1 1.663671 media_streaming
win2 emc-5disk-sp 4 0 0 65536 1 1.664933 sql_server_log
win2 emc-5disk-sp 4 0 0 65536 1 1.664112 sql_server_log
win1 netapp-7disk-sp 3 100 70 8192 1 15.254086 oltp_db
win1 netapp-7disk-sp 3 75 95 4096 1 14.026638 web_file_server1
win1 netapp-7disk-sp 3 0 0 65536 1 2.486861 sql_server_log
win2 emc-5disk-sp 3 80 80 8192 1 7.961090 workstations
win2 emc-5disk-sp 3 0 98 65536 1 1.097819 media_streaming
win2 emc-5disk-sp 3 0 98 65536 1 1.097313 media_streaming
win1 netapp-7disk-sp 2 75 95 65536 1 14.796327 web_file_server3
win1 netapp-7disk-sp 2 0 90 65536 1 1.525187 os_paging
win2 emc-5disk-sp 3 80 80 8192 1 8.704905 workstations
win2 emc-5disk-sp 3 75 95 4096 1 9.022465 web_file_server1
win2 emc-5disk-sp 3 0 98 65536 1 1.280458 media_streaming
win1 netapp-7disk-sp 3 100 67 4096 1 9.509494 exchange_server
win1 netapp-7disk-sp 3 100 100 1048576 1 102.625280 decision_support_db
win1 netapp-7disk-sp 3 100 67 4096 1 9.812316 exchange_server
win2 emc-5disk-sp 2 0 0 65536 1 0.874158 sql_server_log
win2 emc-5disk-sp 2 75 95 8192 1 6.489409 web_file_server2
win1 netapp-7disk-sp 3 0 90 65536 1 1.791188 os_paging
win1 netapp-7disk-sp 3 75 95 8192 1 11.424913 web_file_server2
win1 netapp-7disk-sp 3 100 70 8192 1 9.833576 oltp_db
win2 emc-5disk-sp 4 100 70 8192 1 9.717984 oltp_db
win2 emc-5disk-sp 4 100 100 1048576 1 40.057858 decision_support_db
win2 emc-5disk-sp 4 75 95 8192 1 11.698768 web_file_server2
win2 emc-5disk-sp 4 75 95 65536 1 16.314944 web_file_server3
