host datastore workers random read size oio latency workload
win1 netapp-7disk-sp 3 0 0 65536 1 2.276360 sql_server_log
win1 netapp-7disk-sp 3 100 70 8192 1 16.762091 oltp_db
win1 netapp-7disk-sp 3 100 70 8192 1 16.729500 oltp_db
win2 emc-5disk-sp 3 100 100 1048576 1 50.521560 decision_support_db
win2 emc-5disk-sp 3 100 100 1048576 1 59.729172 decision_support_db
win2 emc-5disk-sp 3 75 95 8192 1 15.066276 web_file_server2
win1 netapp-7disk-sp 4 100 67 4096 1 9.104146 exchange_server
win1 netapp-7disk-sp 4 75 95 4096 1 10.875477 web_file_server1
win1 netapp-7disk-sp 4 75 95 4096 1 10.684535 web_file_server1
win1 netapp-7disk-sp 4 100 100 1048576 1 93.235056 decision_support_db
win2 emc-5disk-sp 4 100 100 1048576 1 59.996118 decision_support_db
win2 emc-5disk-sp 4 75 95 65536 1 30.613881 web_file_server3
win2 emc-5disk-sp 4 0 98 65536 1 2.627398 media_streaming
win2 emc-5disk-sp 4 0 0 65536 1 2.628209 sql_server_log
win1 netapp-7disk-sp 4 0 90 65536 1 1.823914 os_paging
win1 netapp-7disk-sp 4 80 80 8192 1 12.417133 workstations
win1 netapp-7disk-sp 4 100 70 8192 1 13.343652 oltp_db
win1 netapp-7disk-sp 4 100 67 4096 1 13.373852 exchange_server
win2 emc-5disk-sp 3 75 95 65536 1 9.230183 web_file_server3
win2 emc-5disk-sp 3 75 95 8192 1 6.979268 web_file_server2
win2 emc-5disk-sp 3 75 95 4096 1 7.385307 web_file_server1
win1 netapp-7disk-sp 2 0 0 65536 1 1.783292 sql_server_log
win1 netapp-7disk-sp 2 100 70 8192 1 12.776058 oltp_db
win2 emc-5disk-sp 3 0 90 65536 1 1.495709 os_paging
win2 emc-5disk-sp 3 75 95 8192 1 9.701516 web_file_server2
win2 emc-5disk-sp 3 75 95 8192 1 9.371459 web_file_server2
win1 netapp-7disk-sp 4 75 95 8192 1 9.972013 web_file_server2
win1 netapp-7disk-sp 4 80 80 8192 1 9.257517 workstations
win1 netapp-7disk-sp 4 75 95 65536 1 13.129405 web_file_server3
win1 netapp-7disk-sp 4 100 70 8192 1 8.801956 oltp_db
win2 emc-5disk-sp 3 100 70 8192 1 6.757330 oltp_db
win2 emc-5disk-sp 3 0 0 65536 1 1.227544 sql_server_log
win2 emc-5disk-sp 3 0 0 65536 1 1.228402 sql_server_log
win1 netapp-7disk-sp 3 100 100 1048576 1 147.142088 decision_support_db
win1 netapp-7disk-sp 3 0 0 65536 1 1.260311 sql_server_log
win1 netapp-7disk-sp 3 0 0 65536 1 1.260300 sql_server_log
win2 emc-5disk-sp 3 75 95 8192 1 6.688757 web_file_server2
win2 emc-5disk-sp 3 100 70 8192 1 6.177518 oltp_db
win2 emc-5disk-sp 3 75 95 8192 1 6.629249 web_file_server2
win1 netapp-7disk-sp 2 100 67 4096 1 7.785999 exchange_server
win1 netapp-7disk-sp 2 0 0 8192 1 1.059552 web_serber_log
win2 emc-5disk-sp 3 75 95 65536 1 9.522800 web_file_server3
win2 emc-5disk-sp 3 75 95 8192 1 7.259734 web_file_server2
win2 emc-5disk-sp 3 100 70 8192 1 6.965611 oltp_db
win1 netapp-7disk-sp 3 75 95 65536 1 15.338188 web_file_server3
win1 netapp-7disk-sp 3 0 0 8192 1 0.849148 web_serber_log
win1 netapp-7disk-sp 3 0 90 65536 1 1.640836 os_paging
win2 emc-5disk-sp 3 100 70 8192 1 10.707130 oltp_db
win2 emc-5disk-sp 3 75 95 8192 1 10.451076 web_file_server2
win2 emc-5disk-sp 3 0 90 65536 1 1.702358 os_paging
win1 netapp-7disk-sp 4 100 70 8192 1 12.962101 oltp_db
win1 netapp-7disk-sp 4 100 70 8192 1 12.810785 oltp_db
win1 netapp-7disk-sp 4 0 0 8192 1 1.033366 web_serber_log
win1 netapp-7disk-sp 4 75 95 8192 1 10.815298 web_file_server2
win2 emc-5disk-sp 3 75 95 65536 1 22.697247 web_file_server3
win2 emc-5disk-sp 3 100 100 1048576 1 40.753062 decision_support_db
win2 emc-5disk-sp 3 0 0 8192 1 0.814058 web_serber_log
win1 netapp-7disk-sp 3 0 98 65536 1 1.614669 media_streaming
win1 netapp-7disk-sp 3 80 80 8192 1 9.592509 workstations
win1 netapp-7disk-sp 3 100 70 8192 1 9.142165 oltp_db
win2 emc-5disk-sp 2 100 70 8192 1 4.409444 oltp_db
win2 emc-5disk-sp 2 0 0 8192 1 0.729181 web_serber_log
win1 netapp-7disk-sp 3 0 98 65536 1 1.522621 media_streaming
win1 netapp-7disk-sp 3 75 95 4096 1 9.428816 web_file_server1
win1 netapp-7disk-sp 3 75 95 4096 1 9.406807 web_file_server1
win2 emc-5disk-sp 3 75 95 65536 1 16.279237 web_file_server3
win2 emc-5disk-sp 3 0 90 65536 1 1.872672 os_paging
win2 emc-5disk-sp 3 0 0 65536 1 1.796736 sql_server_log
win1 netapp-7disk-sp 3 75 95 4096 1 10.004732 web_file_server1
win1 netapp-7disk-sp 3 75 95 8192 1 10.281384 web_file_server2
win1 netapp-7disk-sp 3 0 90 65536 1 1.733122 os_paging
win2 emc-5disk-sp 3 0 0 8192 1 0.797023 web_serber_log
