datastore size read random oio latency
netapp-7disk-sp 4096 0 0 1 0.630454
emc-3disk-raid0 4096 0 0 1 0.750156
netapp-3diskata-sp 4096 0 0 1 0.635085
netapp-7diskata-dp 4096 0 0 1 0.616299
srs7diskfc_netapp 4096 0 0 1 0.618754
emc-6diskfc-sp 4096 0 0 2 1.410696
DRSStore2 4096 0 0 2 1.653514
DASStore 4096 0 0 2 1.692597
netapp-7disk-sp 4096 0 0 2 1.040151
emc-3disk-raid0 4096 0 0 2 1.410431
netapp-3diskata-sp 4096 0 0 2 1.040436
netapp-7diskata-dp 4096 0 0 2 1.109085
srs7diskfc_netapp 4096 0 0 2 1.037194
emc-6diskfc-sp 4096 0 0 4 2.866005
DRSStore2 4096 0 0 4 3.299753
DASStore 4096 0 0 4 3.383838
netapp-7disk-sp 4096 0 0 4 2.473301
emc-3disk-raid0 4096 0 0 4 2.868091
netapp-3diskata-sp 4096 0 0 4 2.036341
netapp-7diskata-dp 4096 0 0 4 2.273793
srs7diskfc_netapp 4096 0 0 4 2.280652
emc-6diskfc-sp 4096 0 0 8 5.532002
DRSStore2 4096 0 0 8 6.562473
DASStore 4096 0 0 8 6.776271
netapp-7disk-sp 4096 0 0 8 4.540210
emc-3disk-raid0 4096 0 0 8 5.533078
netapp-3diskata-sp 4096 0 0 8 4.067600
netapp-7diskata-dp 4096 0 0 8 4.522019
srs7diskfc_netapp 4096 0 0 8 4.878140
emc-6diskfc-sp 4096 0 0 16 10.994321
DRSStore2 4096 0 0 16 13.160827
DASStore 4096 0 0 16 13.558550
netapp-7disk-sp 4096 0 0 16 9.549887
emc-3disk-raid0 4096 0 0 16 11.000597
netapp-3diskata-sp 4096 0 0 16 8.187459
netapp-7diskata-dp 4096 0 0 16 9.160501
srs7diskfc_netapp 4096 0 0 16 10.015093
emc-6diskfc-sp 4096 0 0 32 24.162087
DRSStore2 4096 0 0 32 26.239724
DASStore 4096 0 0 32 26.992163
netapp-7disk-sp 4096 0 0 32 20.056320
emc-3disk-raid0 4096 0 0 32 24.141733
netapp-3diskata-sp 4096 0 0 32 16.580698
netapp-7diskata-dp 4096 0 0 32 20.249088
srs7diskfc_netapp 4096 0 0 32 20.090668
emc-6diskfc-sp 4096 0 0 64 49.308725
DRSStore2 4096 0 0 64 52.800161
DASStore 4096 0 0 64 54.448424
netapp-7disk-sp 4096 0 0 64 40.489074
emc-3disk-raid0 4096 0 0 64 49.333301
netapp-3diskata-sp 4096 0 0 64 33.099563
netapp-7diskata-dp 4096 0 0 64 39.895705
srs7diskfc_netapp 4096 0 0 64 40.500457
emc-6diskfc-sp 4096 0 0 128 84.580360
